Platform,Building,Reinforcing,Impacting,Activating
Linear TV Metro & Regional,0.78,0.82,0.32,0.46
Linear TV Metro,0.78,0.82,0.32,0.46
Linear TV Regional,0.78,0.82,0.32,0.46
Linear TV Metro 5 Cap Seven Network,0.78,0.82,0.32,0.46
Linear TV Metro 5 Cap Nine Network,0.78,0.82,0.32,0.46
Linear TV Metro 5 Cap Ten Network,0.78,0.82,0.32,0.46
Linear TV Metro 5 Cap SBS Network,0.78,0.82,0.32,0.46
Linear TV Regional 4 Seven Network,0.78,0.82,0.32,0.46
Linear TV Regional 4 Nine Network,0.78,0.82,0.32,0.46
Linear TV Regional 4 Ten Network,0.78,0.82,0.32,0.46
Linear TV Regional 4 SBS Network,0.78,0.82,0.32,0.46
Foxtel Linear,0.78,0.82,0.32,0.46
YouTube TrueView,0.21,0.72,0.23,0.72
YouTube Instant Reserve,0.77,0.86,0.53,0.83
YouTube Select,0.77,0.86,0.53,0.83
YouTube OMG Select,0.77,0.86,0.53,0.83
Nine Now,0.7,0.83,0.82,1
Ten Play,0.7,0.83,0.82,1
Seven Plus,0.7,0.83,0.82,1
SBS On Demand,0.7,0.83,0.82,1
Kayo,0.7,0.83,0.82,1
Foxtel Go,0.7,0.83,0.82,1
Binge,0.7,0.83,0.82,1
Netflix,0.7,0.83,0.82,1
Optus Sport,0.7,0.83,0.82,1
Amazon Prime,0.7,0.83,0.82,1
Samsung In-Stream,0.7,0.83,0.82,1
